,,→ParameterNavn,Energi (kJ),"Energi, deklaration (kJ)",Energi (kcal),"Energi, deklaration (kcal)",Protein,Protein fra Aminosyrer,"Protein, deklaration",Kulhydrat difference,Tilgængelig kulhydrat,"Tilgængelig kulhydrat, deklaration",Kostfibre,Fedt,Alkohol,Salt deklaration,Aske,Tørstof,Vand,A-vitamin,Retinol,beta-Caroten,cis-beta-Carotene,D-vitamin,D3-vitamin,D2-vitamin,25-hydroxy D3-vitamin,25-hydroxy D2-vitamin,E-vitamin,alfa-Tokoferol,beta-Tokoferol,gamma-Tokoferol,delta-Tokoferol,alfa-Tokotrienol,K-vitamin,K1-vitamin,K2-vitamin,Menaquinon 4,Menaquinon 5,Menaquinon 6,Menaquinon 7,Menaquinon 8,Menaquinon 9,Menaquinon 10,Thiamin (B1-vitamin),Thiamin,Riboflavin (B2-vitamin),Niacinækvivalent,Niacin,B6-vitamin,Pantotensyre,Biotin,Folat,Frit folat,B12-vitamin,C-vitamin,Ascorbinsyre,Dehydroascorbinsyre,Natrium,Kalium,Calcium,Magnesium,Rubidium,Jern,Kobber,Zink,Mangan,Krom,Molybdæn,Cobolt,Selen,Aluminium,Silicium,Bor,Fosfor,Fluor,Chlorid,Brom,Jod,Svovl,Nikkel,Kviksølv,Arsen,Cadmium,Bly,Tin,Sum mineraler,Fruktose,Galaktose,Glukose,Sum monosakkarider,Laktose,Maltose,Sakkarose,Sum disakkarider,Raffinose,Sum sukkerarter,Tilsat Sukker,Frie sukkerarter,Sorbitol,Mannitol,Maltitol,Isomalt,Xylitol,Laktitol,Sum sukkeralkoholer,Stivelse/Glykogen,Cellulose,Lignin,Uopløselige kostfibre,Høj molekylevægt opløselige kostfibre,Lav molekylevægt opløselige kostfibre,Crude fibre,Neutral detergent fibre,L-mælkesyre,D-mælkesyre,Mælkesyre,Citronsyre,Oxalsyre,Eddikesyre,Propionsyre,Benzosyre,Sum organiske syrer,C4:0,C6:0,C8:0,C10:0,C12:0,C13:0,C14:0,C15:0,C16:0,C17:0,C18:0,C20:0,C21:0,C22:0,C23:0,C24:0,"C12:1,n-1","C14:1,n-5","C15:1,n-5","C16:1,n-7","C17:1,n-7","C18:1,n-7","C18:1,n-9","C18:1,n-12","C20:1,n-9","C20:1,n-11","C20:1,n-15","C22:1,n-9","C22:1,n-11","C24:1,n-9","C14:1,n-5,trans","C16:1,n-7,trans","C18:1,trans","C20:1,trans","C22:1,trans","C18:2,n-6","C18:2,konjugeret","C18:3,n-3","C18:3,n-6","C18:4,n-3","C20:2,n-6","C20:3,n-3","C20:3,n-6","C20:4,n-3","C20:4,n-6","C20:5,n-3","C21:5,n-3","C22:2,n-6","C22:3,n-3","C22:4,n-6","C22:5,n-3","C22:5,n-6","C22:6,n-3","C18:2,trans","C18:3,trans",Andre fedtsyrer,Sum mættede fedtsyrer,Sum enkeltumættede fedtsyrer,Sum flerumættede fedtsyrer,Sum transfedtsyrer,Sum fedtsyrer under detektionsgrænsen,Sum fedtsyrer,Sum n-3 fedtsyrer,Sum n-6 fedtsyrer,Kolesterol,Nitrogen,Isoleucin,Leucin,Lysin,Methionin,Cystin,Phenylalanin,Tyrosin,Threonin,Tryptofan,Valin,Arginin,Histidin,Alanin,Asparaginsyre,Glutaminsyre,Glycin,Prolin,Serin,Hydroxyprolin,Ornitin,Sum essentielle Aminosyrer,Sum ikke essentielle aminosyrer ,Histamin,Serotonin,Cholin,Tyramin,Phenylethylamin,Putrescin,Cadaverin,Spermin,Spermidin,Taurin,Sum biogene aminer,Koffein,Residual,Svind,Nitrogen-til-protein faktor,Fedtsyrekonverteringsfaktor,Massefylde,pH,,,,
,,→ParameterName,Energy (kJ),"Energy, labelling (kJ)",Energy (kcal),"Energy, labelling (kcal)",Protein,Protein from Amino Acids,"Protein, labeling",Carbohydrate by difference,Available carbohydrates,"Available carbohydrate, labelling",Dietary fibre,Fat,Alcohol,Salt labelling,Ash,Dry matter,Water,Vitamin A,Retinol,beta-Carotene,cis-beta-Caroten,Vitamin D,Vitamin D3,Vitamin D2,25-hydroxy vitamin D3 ,25-hydroxy Vitamin D2,Vitamin E,alpha-Tocopherol,beta-Tocopherol,gamma-Tocopherol,delta-Tocopherol,alpha-Tocotrienol,Vitamin K,Vitamin K1,Vitamin K2,Menaquinone 4,Menaquinone 5,Menaquinone 6,Menaquinone 7,Menaquinone 8,Menaquinone 9,Menaquinone 10,Thiamin (Vitamin B1),Thiamine,Riboflavin (Vitamin B2),Niacin equivalent,Niacin,Vitamin B6,Pantothenic acid,Biotin,Folate,"Folate, free",Vitamin B12,Vitamin C,Ascorbic acid,Dehydroascorbic acid,Sodium,Potassium,Calcium,Magnesium,Rubidium,Iron,Copper,Zinc,Manganese,Chromium,Molybdenum,Cobalt,Selenium,Aluminum,Silicon,Boron,Phosphorus,Fluoride,Chloride,Bromine,Iodine,Sulfur,Nickel,Mercury,Arsenic,Cadmium,Lead,Tin,Sum minerals,Fructose,Galactose,Glucose,Sum monosaccharides,Lactose,Maltose,Sucrose,Sum disaccharides,Raffinose,Sum sugars,Added Sugar,Free Sugars,Sorbitol,Mannitol,Maltitol,Isomalt,Xylitol,Lactitol,Sum sugar alcohols,Starch/Glycogen,Cellulose,Lignin,Insoluble dietary fibers,High molecular weight soluble dietary fibre ,Low molecular weight soluble dietary fibre ,Crude fibre,Neutral detergent fibre,L-lactic acid,D-lactic acid,Lactic acid,Citric acid,Oxalic acid,Acetic acid,Propionic acid,Benzoic acid,Sum organic acids,C4:0,C6:0,C8:0,C10:0,C12:0,C13:0,C14:0,C15:0,C16:0,C17:0,C18:0,C20:0,C21:0,C22:0,C23:0,C24:0,"C12:1,n-1","C14:1,n-5","C15:1,n-5","C16:1,n-7","C17:1,n-7","C18:1,n-7","C18:1,n-9","C18:1,n-12","C20:1,n-9","C20:1,n-11","C20:1,n-15","C22:1,n-9","C22:1,n-11","C24:1,n-9","C14:1,n-5,trans","C16:1,n-7,trans","C18:1,trans","C20:1,trans","C22:1,trans","C18:2,n-6","C18:2,conjugated","C18:3,n-3","C18:3,n-6","C18:4,n-3","C20:2,n-6","C20:3,n-3","C20:3,n-6","C20:4,n-3","C20:4,n-6","C20:5,n-3","C21:5,n-3","C22:2,n-6","C22:3,n-3","C22:4,n-6","C22:5,n-3","C22:5,n-6","C22:6,n-3","C18:2,trans","C18:3,trans",Other fatty acids,Sum saturated fatty acids,Sum monounsaturated fatty acids,Sum polyunsaturated fatty acids,Sum trans fatty acids,Sum fatty acids below the detection limit,Sum fatty acids,Sum n-3 fatty acids,Sum n-6 fatty acids,Cholesterol,Nitrogen,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Threonine,Tryptophan,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,Hydroxyproline,Ornithine,Sum essential amino acids,Sum non-essential amino acids,Histamine,Serotonin,Choline,Tyramine,Phenylethylamine,Putrescine,Cadaverine,Spermine,Spermidine,Taurine,Sum biogenic amines,Caffeine,Residual,Waste,Nitrogen conversion factor,Fatty acid conversion factor,Density,pH,,,,
,,→Unit,kJ/100g,kJ/100g,kcal/100 g,kcal/100 g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,RE (µg/100g),µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,alfa-TE,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,mg/100g,mg/100g,mg/100g,NE,mg/100g,mg/100g,mg/100g,µg/100g,µg/100g,µg/100g,µg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,µg/100g,mg/100g,mg/100g,mg/100g,mg/100g,µg/100g,µg/100g,µg/100g,µg/100g,mg/100g,mg/100g,µg/100g,mg/100g,µg/100g,mg/100g,µg/100g,µg/100g,mg/100g,µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,mg/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,mg/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,mg/100g,g/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,g/100g,%,No Unit,No Unit,g/ml,No Unit,,,,
↓FødevareNavn,↓FoodName,↓FoodID/→ParameterID,137,316,356,359,218,421,317,170,172,318,168,141,19,327,33,265,268,12,225,303,440,126,128,127,11,354,135,276,279,286,282,277,442,164,441,433,434,435,436,437,438,439,37,36,39,203,294,40,210,42,143,145,38,47,175,177,201,165,108,184,227,162,166,274,187,117,190,120,230,20,234,44,214,142,114,46,163,253,204,174,32,107,43,260,443,146,148,149,191,179,185,228,18,222,245,417,418,237,188,343,344,445,446,244,243,112,181,414,415,416,123,202,178,125,192,119,209,136,217,41,208,103,104,105,48,49,50,51,56,58,63,65,77,409,89,413,100,401,52,57,59,64,66,67,425,347,78,424,92,90,101,53,60,70,79,93,71,72,74,75,76,80,82,85,349,86,87,428,410,426,411,98,412,99,73,355,24,248,247,251,261,427,340,249,250,115,300,161,180,183,189,124,211,264,258,262,266,31,159,17,34,150,153,216,231,400,423,430,431,158,232,116,263,212,221,106,239,238,255,422,121,444,252,219,140,363,432,FoodGroupID,FødevareGruppe,FoodGroup,EurofirFoodGroup
"Jordbær, rå","Strawberry, raw",1,162,148,38,35,0.7,0.5,0.7,8.3,6.9,6.1,1.5,0.6,0.0,0.0,0.4,10.0,90.0,6.67,0.00,40.00,,0.00,0.00,,,,0.41,0.41,,,,,20.00,20.00,,,,,,,,,0.01,,0.01,0.57,0.43,0.05,0.13,0.7,117.0,15.0,0.0,66.9,64.8,2.1,1,179,19,12,,0.25,0.04,0.10,0.34,0.07,0.00,,0.18,,,,23.8,,,,0.1,,3.51,0.00,0.30,0.59,0.31,,234,3.2,,2.9,6.0,,,0.1,0.1,,6.1,0.0,0.0,0.000,,,,,,0.000,0,0.59,0.39,,,,,,,,,,,,,0.030,,,,,,,,,,0.050,,,,,,,,,,,,,,0.083,,,,,,,,,,,,,0.182,,0.166,,,,,,,0.000,,,,,,,,,,,,0.050,0.083,0.348,0.000,,0.480,0.166,0.182,0.0,0.106,24.3,39.1,34.8,10.1,3.7,22.2,10.6,22.2,8.2,28.5,40.1,11.6,30.6,96.1,89.7,25.3,23.2,29.6,,,201.0,348.9,0.01,0.003,5.7,0,,,,,,,0.013,,,3.91,6.25,0.8,,,51,Bærfrugt,Soft fruit,A0833
"Æble, uspec., råt","Apple, raw, all varieties",2,233,220,55,52,0.3,0.2,0.3,14.3,12.1,11.3,2.2,0.2,0.0,0.0,0.3,15.1,84.9,4.17,0.00,25.00,,0.00,0.00,,,,0.25,0.25,,,,,3.00,3.00,,,,,,,,,0.01,,0.01,0.17,0.12,0.05,0.07,1.0,9.0,3.0,0.0,8.3,7.8,0.5,1,118,4,4,,0.12,0.03,0.02,0.06,0.11,0.00,,0.01,,,,9.5,,,,0.1,,0.52,0.00,0.03,0.02,0.15,,137,6.0,,1.8,7.8,0.0,0.0,3.1,3.1,,10.9,0.0,0.0,0.436,,,,,,0.436,0,0.76,0,,,,,,,,,,,,,0.030,,,,,,,,,,0.038,,0.007,,,,,,,,,,,,0.007,,,,,,,,,,,,,0.103,,0.028,,,,,,,0.000,,,,,,,,,,,,0.045,0.007,0.131,0.000,,0.183,0.028,0.103,0.0,0.043,8.6,13.8,12.9,2.6,0.9,6.9,4.3,7.8,2.6,10.3,6.0,4.3,11.2,78.4,22.4,7.8,8.2,11.2,,,69.8,150.4,0.01,,5.1,0,,,,0.222,9.86,,10.092,,,9.7,6.25,0.8,,,49,Kernefrugt,Pome fruit,A0833
"Banan, rå","Banana, raw",3,396,375,93,88,1.1,0.7,1.1,22.6,21.0,19.7,1.6,0.2,0.0,0.0,0.7,24.7,75.4,8.83,0.00,53.00,,0.00,0.00,,,,0.27,0.27,,,,,0.50,0.50,,,,,,,,,0.04,,0.01,0.77,0.60,0.31,0.26,1.6,38.0,12.0,0.0,11.2,8.1,3.1,0,348,7,28,,0.25,0.11,0.17,0.46,0.00,,,0.35,,,,25.6,,,,0.0,,4.08,0.01,0.02,0.01,0.08,,409,7.0,0.0,6.9,13.9,0.0,0.0,1.4,1.4,,15.4,0.0,0.0,0.014,,,,,,0.014,4.325,0.37,0.27,,,,,,,,,,,,,0.030,,0.000,0.000,0.000,0.000,0.000,,0.000,,0.070,0.000,0.012,0.000,,0.000,,0.000,,0.000,,0.011,,0.000,0.032,,,0.000,,0.000,0.000,0.000,,,,,,0.025,,0.000,,0.000,0.000,0.000,0.000,,,0.000,,,,,0.000,,0.000,,,0.000,0.082,0.043,0.025,0.000,,0.150,0.000,0.025,0.0,0.183,34.7,89.4,51.1,10.2,3.1,34.7,20.1,32.9,10.2,52.9,49.3,84.0,34.7,116.8,105.9,36.5,38.3,52.9,,,400.0,457.5,0.01,1.5,9.8,0.21,,,,,,,,,,40.72,6.25,0.73,,,52,Sydfrugt,Tropical or subtropical fruit,A0833
"Kartoffel, uspec., rå","Potato, raw",4,326,361,77,85,2.0,1.5,2.0,17.3,15.9,17.9,1.4,0.3,0.0,0.0,0.9,20.5,79.5,1.67,0.00,10.00,,0.00,0.00,,,,0.10,0.10,,,,,16.00,16.00,,,,,,,,,0.06,,0.06,2.11,1.60,0.20,0.38,0.5,36.0,10.0,0.0,26.4,23.4,3.0,7,414,7,20,,1.04,0.05,0.30,0.23,0.60,0.00,,0.27,,,,55.3,,,,1.2,,5.75,0.28,1.39,2.07,0.81,,504,0.2,,0.3,0.6,0.0,0.0,0.7,0.7,0.1,1.2,0.0,0.0,,,,,,,,16.65,0.89,0,,,,,,,,,,,,,0.030,,,,,,,,,,0.046,,0.010,,,,,,,,,0.005,,,0.010,,,,,,,,,,,,,0.070,,0.093,,,,,,,,,,,,,,,,,,,0.056,0.014,0.162,0.000,,0.233,0.093,0.070,0.0,0.324,74.6,110.3,116.7,27.6,16.5,81.1,38.9,68.1,30.8,120.0,84.3,35.7,71.3,428.1,269.2,58.4,71.3,71.3,,,664.8,1109.4,,0.003,12.1,0.1,,,,,,,,,,25.2,6.25,0.8,,,39,Rod- og knoldgrøntsager,Root and tuber vegetables,A0829
"Sødmælk, konventionel (ikke-økologisk)","Milk, whole, konventional (not organic), 3.5 % fat",6,264,266,63,64,3.4,3.1,3.4,4.4,4.4,4.6,0.0,3.5,0.0,0.1,0.8,12.2,87.8,33.07,30.40,16.00,,0.04,0.01,0.00,0.01,0.00,0.06,0.06,,,,,1.26,0.24,1.02,0.86,0.00,0.00,0.00,0.24,0.00,0.00,0.04,,0.17,0.86,0.09,0.05,0.36,1.6,11.0,4.0,0.4,1.2,1.2,,44,144,116,11,,0.02,0.01,0.41,0.00,0.05,5.00,,1.64,,,,92.7,,93.10163934,,10.7,,0.71,0.03,0.30,0.00,0.09,,501,0.0,0.0,0.0,0.0,4.6,0.0,0.0,4.6,,4.6,0.0,0.0,,,,,,,,0,0,0,,,,,,,,,0.193,,,,0.045,0.193,0.128,0.087,0.048,0.102,0.125,,0.368,0.037,0.999,,0.346,,,,,,,0.034,,0.054,,0.031,0.663,,,,,,,,,,0.107,,,0.048,0.011,0.014,,,,,,,,,,,,,,,,0.025,,0.047,2.240,0.782,0.073,0.131,,3.274,0.014,0.048,14.0,0.536,198.4,327.2,305.7,85.8,26.3,171.6,144.8,144.8,46.1,236.0,118.0,96.5,112.6,278.9,681.1,69.7,332.5,193.1,,,1612.2,1957.1,0.01,0.03,14.3,0,,,,,,,0.04,,,0,6.38,0.945,1.031,,4,Usyrnede mælkeprodukter,Unfermented milk products,A0780
"Persille, rå","Parsley, raw",8,201,159,48,38,3.7,2.7,3.7,7.8,3.7,1.2,4.1,1.2,0.0,0.2,2.1,14.8,85.2,948.33,0.00,5690.00,,0.00,0.00,,,,2.70,2.70,,,,,790.00,790.00,,,,,,,,,0.12,,0.30,2.64,1.70,0.20,0.30,0.4,116.0,41.0,0.0,308.0,308.0,,64,641,185,29,,3.60,0.09,0.46,2.70,7.00,10.00,,0.10,,,,72.0,,,,13.5,,50.00,1.50,3.00,3.00,19.00,,994,0.3,,0.5,0.8,0.0,0.0,0.0,0.0,,0.8,0.0,0.0,,,,,,,,0.43,1.63,0.59,,,,,,,,,,,,,,,,,,,,,,,0.155,,0.007,,,,,,,,,0.027,,,,,,,,,,,,,,,,0.274,,0.457,,,,,,,,,,,,,,,,,,,0.162,0.027,0.731,0.000,,0.920,0.457,0.274,0.0,0.594,148.5,255.4,225.7,52.3,17.8,178.2,101.0,154.4,56.4,213.8,154.4,77.2,243.5,368.3,308.9,178.2,267.3,172.3,,,1362.0,1811.7,,,12.8,,,,,,,,,,,33.26315789,6.25,0.8,,,44,Krydderurter,Herbs,A0857
"Pære, rå","Pear, raw",9,207,197,49,47,0.3,0.2,0.3,14.4,11.1,10.6,3.2,0.1,0.0,0.0,0.3,15.0,85.0,10.83,0.00,65.00,,0.00,0.00,,,,0.58,0.58,,,,,,,,,,,,,,,0.01,,0.01,0.28,0.23,0.01,0.05,0.4,16.0,4.0,0.0,6.1,5.3,0.8,1,122,10,6,,0.10,0.07,0.11,0.05,0.02,0.00,,0.10,,,,11.2,,,,0.2,,8.50,0.01,0.47,0.48,0.16,,151,6.0,,1.7,7.6,0.0,0.0,0.7,0.7,,8.3,0.0,0.0,2.238,,,,,,2.238,0,0.63,0.4,,,,,,,,,,,,,,,,,,,,,,,0.010,,0.002,,,,,,,,,0.001,,,0.007,,,,,,,,,,,,,0.025,,0.008,,,,,,,,,,,,,,,,,,,0.012,0.008,0.033,0.000,,0.053,0.008,0.025,0.0,0.049,12.3,20.1,20.1,3.1,1.5,12.3,4.6,10.8,3.1,15.2,9.3,6.4,13.8,57.0,30.9,12.3,27.5,15.2,,,103.4,172.1,0.01,0.003,5.1,0,,,,,,,0.013,,,9.375,6.25,0.8,,,49,Kernefrugt,Pome fruit,A0833
