"Food","Portion_g","Usual_Score","Cost_USD_per_100g"
"Potatoes raw",200,8,0.20
"Potatoes new raw",200,6,0.30
"Potatoes old raw",200,8,0.15
"Pasta white raw",100,9,0.30
"Rice white raw",75,8,0.25
"Endive raw",150,7,0.40
"Endive boiled",200,8,0.40
"Asparagus white raw",200,5,1.50
"Aubergine/eggplant raw",150,6,0.50
"Aubergine/eggplant boiled",150,6,0.50
"Beetroot raw",150,6,0.30
"Celery boiled",150,5,0.40
"Cauliflower raw",200,8,0.35
"Cauliflower boiled",200,8,0.35
"Kale curly boiled",250,9,0.40
"Mushrooms chanterelle raw",100,4,1.80
"Mushrooms chanterelle boiled",100,4,1.80
"Mushroom raw",100,8,0.60
"Mushroom boiled",100,8,0.60
"Cabbage Chinese raw",150,6,0.35
"Cabbage Chinese boiled",150,6,0.35
"Peas raw",150,7,0.50
"Cabbage green raw",150,5,0.30
"Cabbage green boiled",200,6,0.30
"Celeriac boiled",150,5,0.40
"Cucumber wo skin raw",100,7,0.30
"Cucumber boiled",100,2,0.30
"Swede boiled",150,3,0.35
"Kohlrabi boiled",150,4,0.40
"Sweet pepper green raw",100,8,0.60
"Sweet pepper green boiled",100,7,0.60
"Raisins dried",30,7,0.60
"Mange-tout raw",100,5,1.20
"Purslane boiled",150,4,0.70
"Leek boiled",150,8,0.35
"Turnip tops raw",150,4,0.50
"Turnip tops boiled",150,4,0.50
"Rhubarb raw",150,5,0.60
"Cabbage red raw",150,7,0.25
"Cabbage red boiled",200,8,0.25
"Salsify raw",150,2,0.80
"Lettuce butterhead raw",100,8,0.40
"Lettuce butterhead boiled",100,1,0.40
"Swiss chard leaf boiled",150,3,0.60
"Beans runner raw",150,6,0.50
"Beans French raw",150,8,0.50
"Spinach raw",150,8,0.45
"Spinach boiled",200,8,0.45
"Cabbage oxheart raw",150,4,0.30
"Cabbage oxheart boiled",150,4,0.30
"Brussel sprouts boiled",200,8,0.45
"Sweetcorn boiled",150,7,0.50
"Bean sprouts raw",50,6,0.40
"Bean sprouts boiled",50,7,0.40
"Tomatoes classic round raw",100,9,0.40
"Tomatoes classic round boiled",100,7,0.40
"Beans broad raw",150,5,0.60
"Onions raw",50,9,0.20
"Onions boiled",50,8,0.20
"Lettuce lambs raw",50,6,1.00
"Chicory raw",100,6,0.45
"Chicory boiled",150,7,0.45
"Cabbage white raw",100,7,0.20
"Cabbage white cooked",150,6,0.20
"Carrot raw av",100,9,0.20
"Carrot boiled av",150,8,0.20
"Cabbage sauerkraut raw",150,7,0.35
"Cabbage sauerkraut cooked",200,8,0.35
"Vegetable mix for soup raw",150,8,0.50
"Flour rice",50,4,0.35
"Egg whole chicken av raw",50,9,0.45
"Egg whole chicken av boiled",50,9,0.45
"Egg yolk chicken raw",20,6,0.60
"Egg yolk chicken boiled",20,5,0.60
"Egg powder chicken",10,1,1.50
"Horse meat raw",100,1,2.00
"Mutton >10g fat raw av",125,3,1.80
"Brains calf's raw",100,1,1.50
"Duck w skin raw",125,4,2.20
"Hare whole raw",150,2,2.50
"Chicken w skin raw",150,8,1.00
"Rabbit domesticated raw",125,2,2.00
"Rabbit wild raw",125,2,2.50
"Mussels boiled",250,6,0.80
"Eel raw",100,3,3.50
"Herring raw",100,8,1.50
"Fish lean 0-5 g fat raw av",125,7,2.00
"Fish fat >5 g fat raw av",125,7,2.50
"Beans white/ brown dried",75,6,0.40
"Peas green dried",75,5,0.40
"Peas marrowfat dried",75,5,0.40
"Lentils green and brown dried",75,6,0.45
"Potatoes mashed fresh prep w semi-skimmed milk and margarin",250,9,0.25
"Crisps potato av",40,8,1.20
"Radish raw",30,7,0.60
"Radish black raw",30,2,0.80
"Cress garden raw",10,5,1.50
"Vegetables mixture raw av",150,8,0.40
"Parsley fresh",5,8,2.00
"Asparagus white tinned",150,4,0.80
"Gherkins sour pickled",30,7,0.50
"Gherkins sweet pickled",30,8,0.50
"Mushroom tinned",100,6,0.45
"Peas medium fine tinned",150,7,0.35
"Peas super fine tinned",150,6,0.40
